text,department,sentiment,clean_text,processed_text,original_tokens,processed_tokens
"No water supply in our area for last 3 days, please resolve urgently",Water,Urgent,no water supply in our area for last days please resolve urgently,water supply area last day resolve urgently,13,7
Water is coming very dirty and smells bad,Water,Negative,water is coming very dirty and smells bad,water come dirty smell bad,8,5
Low water pressure in the morning hours,Water,Negative,low water pressure in the morning hours,low water pressure morning hour,7,5
Thank you for restoring water supply quickly,Water,Positive,thank you for restoring water supply quickly,restore water supply quickly,7,4
Pipeline leakage near main road causing wastage,Water,Urgent,pipeline leakage near main road causing wastage,pipeline leakage near main road cause wastage,7,7
No electricity since last night in our locality,Electricity,Urgent,no electricity since last night in our locality,electricity since last night locality,8,5
Frequent power cuts during evening time,Electricity,Negative,frequent power cuts during evening time,frequent power cut evening time,6,5
Voltage fluctuation damaging appliances,Electricity,Negative,voltage fluctuation damaging appliances,voltage fluctuation damage appliance,4,4
"Electricity restored quickly, good service",Electricity,Positive,electricity restored quickly good service,electricity restore quickly good service,5,5
Street lights not working in sector 12,Electricity,Negative,street lights not working in sector,street light work sector,7,4
"Garbage not collected for a week, area becoming unhygienic",Sanitation,Urgent,garbage not collected for a week area becoming unhygienic,garbage collect week area become unhygienic,9,6
Overflowing dustbins near market area,Sanitation,Negative,overflowing dustbins near market area,overflow dustbin near market area,5,5
Sewage smell coming due to garbage pile,Sanitation,Negative,sewage smell coming due to garbage pile,sewage smell come due garbage pile,7,6
Sanitation team did a good cleaning job today,Sanitation,Positive,sanitation team did a good cleaning job today,sanitation team good cleaning job today,8,6
Dead animal lying on road not removed,Sanitation,Urgent,dead animal lying on road not removed,dead animal lie road remove,7,5
Road full of potholes causing accidents,Roads,Urgent,road full of potholes causing accidents,road full pothole cause accident,6,5
Road repair work is incomplete and dangerous,Roads,Negative,road repair work is incomplete and dangerous,road repair work incomplete dangerous,7,5
"New road constructed properly, good work",Roads,Positive,new road constructed properly good work,new road construct properly good work,6,6
Heavy traffic due to broken road condition,Roads,Negative,heavy traffic due to broken road condition,heavy traffic due broken road condition,7,6
Street construction work left halfway,Roads,Negative,street construction work left halfway,street construction work leave halfway,5,5
No buses available during peak hours,Transport,Negative,no buses available during peak hours,bus available peak hour,6,4
"Bus service improved recently, thank you",Transport,Positive,bus service improved recently thank you,bus service improve recently,6,4
Auto drivers refusing to go short distances,Transport,Negative,auto drivers refusing to go short distances,auto driver refuse go short distance,7,6
Metro station escalator not working,Transport,Negative,metro station escalator not working,metro station escalator work,5,4
Public transport connectivity needs improvement,Transport,Neutral,public transport connectivity needs improvement,public transport connectivity need improvement,5,5
Drainage blockage causing waterlogging,Drainage,Urgent,drainage blockage causing waterlogging,drainage blockage cause waterlogging,4,4
Sewage water overflowing on streets,Drainage,Urgent,sewage water overflowing on streets,sewage water overflowing street,5,4
Drain cleaning not done regularly,Drainage,Negative,drain cleaning not done regularly,drain cleaning do regularly,5,4
Drainage system improved after maintenance,Drainage,Positive,drainage system improved after maintenance,drainage system improve maintenance,5,4
Rainwater not draining properly from roads,Drainage,Negative,rainwater not draining properly from roads,rainwater drain properly road,6,4
Bijli nahi hai kal raat se please fix,Electricity,Urgent,electricity nahi hai kal raat se please fix,electricity nahi hai kal raat se fix,8,7
Paani supply bahut kam aa raha hai,Water,Negative,water supply bahut kam aa raha hai,water supply bahut kam aa raha hai,7,7
Kachra bahut jama ho gaya hai gali mein,Sanitation,Urgent,garbage bahut jama ho gaya hai gali mein,garbage bahut jama ho gaya hai gali mein,8,8
Sadak bahut kharab hai gaadi chalana mushkil,Roads,Negative,road bahut kharab hai gaadi chalana mushkil,road bahut kharab hai gaadi chalana mushkil,7,7
Drain block ho gaya hai paani bhar gaya,Drainage,Urgent,drain block ho gaya hai water bhar gaya,drain block ho gaya hai water bhar gaya,8,8
Street light repair kar diya thanks,Electricity,Positive,street light repair kar diya thanks,street light repair kar diya,6,5
Water tanker not arrived today,Water,Negative,water tanker not arrived today,water tanker arrive today,5,4
Garbage collection vehicle skipped our area,Sanitation,Negative,garbage collection vehicle skipped our area,garbage collection vehicle skip area,6,5
Road divider broken and dangerous,Roads,Urgent,road divider broken and dangerous,road divider break dangerous,5,4
Bus timing not followed properly,Transport,Negative,bus timing not followed properly,bus timing follow properly,5,4
Drain overflow after rain every time,Drainage,Negative,drain overflow after rain every time,drain overflow rain every time,6,5
